Grady - all ones,(10000, 1000),0.5,1.18182,1.18150,0.00954
Grady - total fill percentage,(10000, 1000),0.5,1.16948,1.17218,0.01504
Swap,(10000, 1000),0.5,53.58751,53.58296,0.19036
Curveball,(10000, 1000),0.5,25.92956,25.91773,0.08431
Cupy,(10000, 1000),0.5,1.02950,1.02436,0.02255
Grady - fill and shuffle,(10000, 1000),0.6,1.18455,1.18433,0.00693
Grady - min col or row,(10000, 1000),0.6,3.78170,3.75596,0.06963
Grady - max col or row,(10000, 1000),0.6,1.41049,1.40735,0.01347
Grady - all zeros,(10000, 1000),0.6,3.70027,3.70132,0.07499
Grady - all ones,(10000, 1000),0.6,1.16922,1.16676,0.00984
Grady - total fill percentage,(10000, 1000),0.6,1.18653,1.18176,0.01967
Swap,(10000, 1000),0.6,68.76211,68.72467,0.13363
Curveball,(10000, 1000),0.6,26.31316,26.27587,0.10202
Cupy,(10000, 1000),0.6,1.03685,1.03373,0.01687
Grady - fill and shuffle,(10000, 1000),0.7,1.13716,1.13459,0.00916
Grady - min col or row,(10000, 1000),0.7,4.06485,4.05640,0.08759
Grady - max col or row,(10000, 1000),0.7,1.36068,1.35861,0.01114
Grady - all zeros,(10000, 1000),0.7,3.95280,3.93111,0.07388
Grady - all ones,(10000, 1000),0.7,1.11986,1.11613,0.01042
Grady - total fill percentage,(10000, 1000),0.7,1.16523,1.15973,0.02143
Swap,(10000, 1000),0.7,101.18951,101.18673,0.29985
Curveball,(10000, 1000),0.7,25.33704,25.31626,0.12698
Cupy,(10000, 1000),0.7,1.01558,1.02046,0.01987
Grady - fill and shuffle,(10000, 1000),0.8,1.08763,1.08552,0.00812
Grady - min col or row,(10000, 1000),0.8,4.21299,4.23304,0.07384
Grady - max col or row,(10000, 1000),0.8,1.29853,1.29601,0.01093
Grady - all zeros,(10000, 1000),0.8,4.02653,4.02134,0.07299
Grady - all ones,(10000, 1000),0.8,1.05974,1.05742,0.01220
Grady - total fill percentage,(10000, 1000),0.8,1.13153,1.12989,0.01647
Swap,(10000, 1000),0.8,187.44224,187.38594,0.41884
Curveball,(10000, 1000),0.8,22.45972,22.44294,0.09743
Cupy,(10000, 1000),0.8,0.99015,0.98924,0.01095
Grady - fill and shuffle,(10000, 1000),0.9,1.00304,1.00038,0.00944
Grady - min col or row,(10000, 1000),0.9,3.97970,3.97285,0.03797
Grady - max col or row,(10000, 1000),0.9,1.20632,1.20604,0.00994
Grady - all zeros,(10000, 1000),0.9,3.80763,3.80052,0.06273
Grady - all ones,(10000, 1000),0.9,0.98445,0.97809,0.02375
Grady - total fill percentage,(10000, 1000),0.9,1.08137,1.08392,0.01239
Swap,(10000, 1000),0.9,616.58587,616.58587,0.00000
Curveball,(10000, 1000),0.9,17.44652,17.46596,0.05357
